size_bytes,counter,elapsed_s,average_s
8,1000,0.000328,0.000000328
36,1000,0.000336,0.000000336
64,1000,0.000293,0.000000293
288,1000,0.000468,0.000000468
512,1000,0.000419,0.000000419
2304,1000,0.000702,0.000000702
4096,1000,0.003984,0.000003984
18432,1000,0.006664,0.000006664
32768,1000,0.010314,0.000010314
147456,1000,0.028187,0.000028187
262144,1000,0.045190,0.000045190
635760,1000,0.098989,0.000098989
1048576,1000,0.152853,0.000152853
