method,vector_size,collect_time_s
sendrecv,1000,0.000059050
gather,1000,0.000020149
reduce,1000,0.000028540
sendrecv,10000,0.000033659
gather,10000,0.000019390
reduce,10000,0.000025820
sendrecv,100000,0.000008910
gather,100000,0.000005709
reduce,100000,0.000006710
sendrecv,1000000,0.000030340
gather,1000000,0.000008410
reduce,1000000,0.000008030
sendrecv,10000000,0.000012360
gather,10000000,0.000003300
reduce,10000000,0.000008400
