method,vector_size,collect_time_s
sendrecv,1000,0.000060939
gather,1000,0.000023190
reduce,1000,0.000034080
sendrecv,10000,0.000008560
gather,10000,0.000011350
reduce,10000,0.000011100
sendrecv,100000,0.000012210
gather,100000,0.000004310
reduce,100000,0.000018540
sendrecv,1000000,0.000032720
gather,1000000,0.000006160
reduce,1000000,0.000007660
sendrecv,10000000,0.000009950
gather,10000000,0.000005770
reduce,10000000,0.000006180
